ra,dec,u,g,r,i,z,plate,mjd,fiberid
100.148890289439,0.210900118449834,17.3626,15.30423,14.25304,13.77361,13.45362,7258,56605,566
99.8818287810244,0.559673838402222,16.59443,14.9641,14.35869,14.07938,13.90511,7258,56605,544
99.9595190096888,0.614494838947264,19.19112,16.63538,15.29524,14.59272,14.09674,7258,56605,543
100.156700757751,0.699374489839507,18.24353,15.52803,14.03644,13.3511,12.90407,7258,56605,587
100.189997532366,0.526644650324517,15.72759,14.49994,14.12587,13.94415,13.87341,7258,56605,592
100.325046443999,0.691780697688279,15.95982,14.58764,14.0624,13.88333,13.80201,7258,56605,634
83.1936583124608,-0.128046998751468,16.46373,15.13707,14.71039,14.53198,14.44355,2052,53401,195
85.6293470832781,-0.190084107479734,19.97955,18.11689,17.16311,16.67207,16.24503,7257,56658,465
99.7458939559669,-0.746502464751415,20.55886,17.7212,16.23746,15.49789,14.96155,7258,56605,498
100.093225611783,-0.8578467246024,17.55848,14.86093,14.59729,12.87539,12.67406,7258,56605,426
100.135858247017,-0.835307090733268,14.85567,14.1408,14.00877,13.99487,14.01255,7258,56605,421
100.061538121546,-0.788080399850211,19.46058,16.76526,15.39507,14.74972,14.31411,7258,56605,430
100.426343516602,-0.708962273500323,18.8389,16.36769,15.2108,14.66939,14.33108,7258,56605,394
100.56270787323,-0.823750478781243,17.61432,15.16935,14.04556,13.52006,13.19073,7258,56605,344
100.585908740381,-0.689441038276347,16.63498,15.16971,14.63309,14.36689,14.26615,7258,56605,351
100.459585523513,-0.772983462335762,19.49971,17.04481,15.77661,15.17081,14.7705,7258,56605,392
100.61300306047,-0.715030444831492,18.22024,15.66424,14.40254,13.81275,13.42666,7258,56605,348
100.64911952325,-0.810856604580424,18.24782,15.28496,15.20776,14.68453,12.88275,7258,56605,345
100.648094799953,-0.851536841391395,15.53489,14.6048,14.39718,14.32502,14.2755,7258,56605,343
100.746849828561,-0.77026454124024,15.25757,14.58035,14.49038,14.49997,14.49979,7258,56605,310
100.843671378544,-0.772298143972604,18.31279,15.82869,14.79757,14.35638,14.09628,7258,56605,316
100.861901130669,-0.78646126988274,17.41914,15.16559,14.00926,13.10122,13.1809,7258,56605,309
100.9079511591,-0.791248664068929,18.44154,16.22629,15.09477,14.54812,14.18415,7258,56605,303
100.918300717523,-0.693147585258308,18.04755,15.38009,15.04563,13.78939,13.38793,7258,56605,278
100.924960945274,-0.716882896546017,16.55116,14.74506,14.08645,13.86797,13.77649,7258,56605,276
100.926737522602,-0.869441537959945,16.71484,15.23075,14.65818,14.33652,14.19948,7258,56605,271
100.946603806818,-0.756386778022259,15.88955,14.41315,14.89784,13.70609,13.7387,7258,56605,268
100.94385150974,-0.827573569849037,16.67456,15.25658,14.68778,14.40886,14.27848,7258,56605,273
100.987275347415,-0.758123090131212,16.47881,15.16946,14.65938,14.44569,14.34483,7258,56605,279
101.014465212765,-0.697778508318868,18.20855,16.04986,16.15988,14.70607,13.77866,7258,56605,277
101.016405917104,-0.757912564881461,16.76548,15.32125,14.72048,14.46915,14.33289,7258,56605,266
101.043170422443,-0.807060096569905,18.03511,15.62227,14.48885,13.94889,13.61962,7258,56605,228
101.046333964669,-0.846807941134502,16.60745,15.2676,14.8016,14.52773,14.45389,7258,56605,227
101.062223642997,-0.801050757234094,16.3724,14.80086,14.18673,13.9063,13.78163,7258,56605,232
101.064509528147,-0.875976180528547,16.91608,15.28226,14.67293,14.36364,14.25769,7258,56605,233
101.063930774443,-0.840073774914358,17.7294,15.32982,14.22485,13.67977,13.36031,7258,56605,224
101.084677095913,-0.790376318343961,15.66428,15.12716,14.88557,13.56496,13.6881,7258,56605,234
101.091277740267,-0.807718638868472,16.38504,14.89285,14.32658,14.06503,13.95623,7258,56605,231
101.107617101301,-0.799777369574926,17.14263,15.55865,14.94938,14.71831,14.63904,7258,56605,226
101.155932523973,-0.775554299375666,16.88583,15.18121,15.18409,12.57092,13.10611,7258,56605,197
101.221403819964,-0.829490081319081,17.09298,15.58316,15.58242,13.61022,13.44883,7258,56605,191
101.26836373541,-0.736322122879823,18.70979,15.76447,14.50988,13.99372,13.73749,7258,56605,199
101.284845126515,-0.765784903759715,19.64215,16.73688,15.13201,14.01149,13.47564,7258,56605,146
101.379161757132,-0.781606115465775,15.34887,15.31746,14.89594,13.30219,13.30271,7258,56605,148
101.440089170446,-0.72675785708977,14.81476,14.7346,14.83394,14.39823,13.4381,7258,56605,156
101.434878587764,-0.687062704654178,19.67022,16.39065,14.8742,14.15627,13.66122,7258,56605,141
101.46710456041,-0.807318226458531,18.61948,16.34222,15.24818,14.75095,14.45378,7258,56605,152
101.545127628958,-0.704038481199262,18.43407,16.00385,14.72254,14.09892,13.65866,7258,56605,117
101.587876188796,-0.776200510967028,18.7628,15.68617,14.27985,13.70982,13.29861,7258,56605,101
101.610639106166,-0.71016236053574,16.15473,14.58536,14.1499,13.99001,13.88283,7258,56605,118
101.674126707026,-0.777186279664003,18.69098,16.01608,14.70142,14.08949,13.65679,7258,56605,109
