PLATEIFU,RA,DEC,REDSHIFT,LOG_MASS,FUV_MAG,NUV_MAG,U_MAG,G_MAG,R_MAG,I_MAG,Z_MAG
9863-6102,194.40502548,28.0403881249,0.0214492,9.067112,,22.08934,20.701723,17.299824,16.635704,16.308641,16.071135
8459-12705,148.117076795,42.8191413496,0.016087,9.067666,18.077633,17.58529,16.807903,15.708586,15.295978,15.07096,14.707974
8942-6103,124.337230897,28.3183087615,0.0200033,9.068979,18.742416,18.338089,17.371134,16.311989,15.895381,15.66599,15.523211
8464-1901,186.246598598,45.9694962176,0.0240655,9.069449,23.181187,21.895555,19.114672,17.636412,16.934803,16.57431,16.499199
8934-1902,196.153785777,28.2505334586,0.018743,9.073213,22.875004,21.780832,18.711845,17.17746,16.494915,16.148005,15.895457
8143-12703,120.908507706,43.3430528761,0.0152769,9.075156,Infinity,Infinity,17.123407,15.903004,15.4198475,15.110747,14.833012
8439-9102,143.754018642,48.9767418599,0.0249582,9.075401,18.039734,17.730375,17.111311,16.23638,15.930457,15.716526,15.554819
8150-12701,146.701429799,31.7195786864,0.0219939,9.075408,20.173662,19.646477,18.439058,17.200697,16.568502,16.246004,15.949158
8448-1901,166.329122293,21.6201296002,0.0214607,9.076491,19.452133,19.41236,18.129892,16.922722,16.357761,16.090553,15.889192
9497-1901,117.375206751,21.7527896599,0.0237293,9.077051,18.33551,18.074821,17.200665,16.202782,15.83485,15.652706,15.482774
8139-6103,114.190161962,33.1227527324,0.0161947,9.077197,Infinity,Infinity,16.539143,15.537078,15.166884,14.948786,14.805654
8147-3702,116.599480276,27.3382111795,0.0160071,9.077793,Infinity,Infinity,17.05399,16.005028,15.528189,15.29837,15.1662855
9183-1901,122.155392392,39.9040611554,0.0213016,9.079731,23.916904,22.488186,19.23072,17.654253,16.870071,16.465582,16.240847
8486-12704,238.261763229,46.7679973877,0.0195055,9.0799265,19.734005,19.780636,17.878765,16.75825,16.1976,15.921883,15.71857
8145-6102,116.553531345,26.9230031293,0.0157315,9.0812645,Infinity,Infinity,17.959139,16.850191,16.14337,15.715056,15.439656
8132-3703,111.602864657,43.0485628876,0.0252964,9.081455,20.103558,20.099373,18.663866,17.36033,16.737993,16.41021,16.074759
8931-3704,194.990028889,28.0650886275,0.0194842,9.082143,,22.549213,17.955662,17.179867,16.487522,16.119568,15.916365
8145-12705,117.009655727,28.4049993878,0.0157733,9.082221,18.488253,17.997179,16.99222,15.966736,15.572362,15.30821,15.199543
8156-12702,54.8917856748,-0.511959862583,0.0258558,9.082484,,,16.809713,15.824778,15.330444,15.2593,14.978808
8442-9101,199.13902,31.54643,0.0247113,9.082621,18.054459,18.077105,17.082268,15.966484,15.615665,15.379021,15.375124
8950-12702,195.019122857,27.0324274279,0.0232099,9.083216,,21.353504,18.577654,17.357615,16.671543,16.393005,16.214474
8712-3701,119.898434811,53.1002139368,0.018835,9.085373,20.049011,22.095053,18.674824,17.349634,16.569853,16.186617,15.996812
8934-9101,196.263744563,27.5370370594,0.0217049,9.0859,22.944986,20.594995,18.157469,16.956863,16.383793,16.084139,15.89177
8720-12704,122.354796604,50.2638981557,0.0163769,9.085925,19.711805,19.246134,17.997961,16.651197,16.070833,15.701599,15.549687
8950-3704,194.331624208,27.6138564494,0.0258962,9.085939,22.22483,20.974464,18.827612,17.423986,16.815819,16.54916,16.338978
8935-1901,195.942816887,27.9869307718,0.0206109,9.086656,27.533638,25.765884,19.24767,17.440533,16.728695,16.387037,16.153078
8939-6102,124.843267515,23.74728292,0.0153263,9.088313,Infinity,Infinity,16.403292,15.561421,15.181978,15.009901,14.829173
8252-1902,146.091838441,47.459850984,0.0258991,9.088844,21.175379,20.49275,18.994944,17.565805,16.931524,16.627876,16.396013
8714-6104,118.655540478,46.9882207166,0.0171618,9.089361,19.418087,20.082796,17.742823,16.846218,16.157856,15.797268,15.663494
8931-12703,194.826892235,27.5135195829,0.0201512,9.091955,,20.982752,18.736864,17.084457,16.409014,16.086464,15.806089
8999-3704,163.79285328,49.3714644261,0.0221849,9.092173,19.072815,18.7418,17.859926,16.771912,16.307428,16.042988,15.886026
9193-3701,46.7463179463,-0.56480466568,0.023239,9.092289,19.322674,19.015501,17.98145,16.917885,16.417164,16.15704,15.965189
8317-9102,192.977010653,44.0934015539,0.0242658,9.093152,18.382984,18.11867,17.562449,16.403214,16.004091,15.80304,15.783334
8935-12705,195.094625216,28.5744704007,0.0215859,9.093485,20.475306,,18.676702,16.83432,16.184526,15.877569,15.55155
8454-1901,154.974655725,44.3379704529,0.0234382,9.093887,21.851505,21.575129,19.01846,17.46182,16.78832,16.434837,16.141932
8718-1902,119.638013219,45.3294264139,0.0218919,9.094887,21.107767,20.295624,18.85165,17.496563,16.779924,16.434767,16.156048
9506-6101,133.02194,27.6642,0.0283804,9.095159,19.92353,20.063032,18.01449,17.024668,16.62771,16.374916,16.073719
8977-3704,118.774403646,32.7286684209,0.0178433,9.095925,18.263353,17.767761,16.888874,15.866947,15.458555,15.246404,15.066219
8711-12705,118.41049,50.77351,0.02129,9.096489,19.914452,19.710308,18.252209,16.9285,16.37709,16.050076,15.886985
9870-6104,233.44112286,43.4462966622,0.0192958,9.097743,19.562788,19.821796,17.632734,16.514006,16.018803,15.723137,15.529836
7960-6101,258.798899463,31.1282239365,0.022468,9.100095,Infinity,Infinity,17.620811,16.719784,16.261986,15.979412,15.793298
