PLATEIFU,RA,DEC,REDSHIFT,LOG_MASS,FUV_MAG,NUV_MAG,U_MAG,G_MAG,R_MAG,I_MAG,Z_MAG
8444-6102,201.743029603,32.5365141139,0.0254602,10.072588,18.398647,17.876163,16.65104,15.278318,14.582313,14.191179,13.902659
8318-3703,198.491577212,45.7044634138,0.0252258,10.0738945,18.326387,18.004364,16.580027,15.230365,14.574258,14.210578,13.992044
8155-6102,52.6213671199,0.752067673583,0.0305763,10.074275,18.232162,17.798016,16.554714,15.348709,14.775979,14.44505,14.23308
8445-3701,205.642469362,35.0203251302,0.0243152,10.074319,Infinity,Infinity,16.450945,15.099519,14.399738,14.036163,13.77574
8712-3703,122.82642,54.74791,0.0327795,10.076203,20.846056,19.841356,17.669971,16.127161,15.338151,14.861956,14.540431
8985-6104,206.198417052,31.6156728964,0.0279465,10.078573,19.642595,18.35546,16.695559,15.42638,14.72155,14.3523655,14.047375
8312-12705,247.155376088,39.69890557,0.031211,10.079145,19.75901,19.275097,17.319054,15.863902,15.131506,14.749875,14.533294
8442-12705,199.377441982,31.0926945393,0.0185128,10.079911,16.078695,15.634754,14.930413,13.87519,13.41357,13.135877,12.915802
8613-12701,254.021313773,34.0498523927,0.0319216,10.082552,19.312178,18.85196,16.840206,15.5682,14.970746,14.632758,14.392616
8604-3701,247.279961727,39.4957288705,0.0289045,10.082757,23.795649,20.458948,17.302237,15.738339,14.979629,14.587201,14.262408
8984-9102,203.850240471,27.9118899255,0.0268301,10.083209,18.7122,18.18614,16.806252,15.340405,14.647709,14.270552,14.00802
8625-3704,260.386495726,56.9888518274,0.0300622,10.0841255,23.055681,21.263437,17.80464,15.999668,15.178035,14.761684,14.459414
9494-12704,126.621540795,22.2611670641,0.028463,10.085273,18.074327,17.526617,16.123959,15.109547,14.567858,14.222263,13.954429
8624-12702,260.581719132,59.0765343825,0.0300528,10.085587,18.96902,18.476177,16.988771,15.618646,14.918,14.522127,14.171269
8984-1901,203.240459396,27.7178342077,0.0290799,10.086826,20.90089,20.16396,17.669373,15.833773,14.988187,14.569953,14.256261
8567-12701,119.25776011,49.5673728539,0.0116837,10.087564,Infinity,Infinity,14.724469,13.392575,12.806722,12.451222,12.327783
7968-12702,322.92881198,0.357835222133,0.0298638,10.088282,17.980425,17.52078,16.293041,15.277563,14.7265005,14.397835,14.23338
9501-3701,129.529505167,24.8847627437,0.0282529,10.089591,21.345762,21.532665,17.60419,15.823493,14.998091,14.585969,14.281784
8983-12705,203.910044306,25.8752373782,0.0256173,10.090114,17.79313,17.160778,16.22891,15.027702,14.388596,14.0484495,13.803277
9024-6102,223.779212841,33.7244456023,0.030798,10.090442,17.303867,16.78788,15.910404,14.79602,14.343599,14.067623,13.879878
8253-1901,158.017034271,43.8592700691,0.028376,10.092064,20.349785,19.028553,17.197208,15.549369,14.803803,14.42506,14.166084
8948-3702,164.889012935,49.9854637595,0.0233101,10.094922,20.060873,18.754923,16.935623,15.21499,14.422748,14.01704,13.754606
8244-6102,130.766355649,51.3256549323,0.0304809,10.09512,20.59991,19.64792,17.38585,15.824761,15.071567,14.6637125,14.335127
9026-6101,249.233992481,44.379019163,0.0300877,10.096357,19.397648,18.37034,17.149193,15.656519,14.932493,14.533401,14.255156
9028-1901,242.669821825,30.2551391434,0.0306899,10.096577,21.31984,21.496504,17.764997,15.989351,15.166161,14.754377,14.445565
8082-12701,48.8964560143,-1.01628610453,0.0268005,10.097035,17.660776,17.505924,16.371878,15.126201,14.537534,14.188738,13.987655
9026-3703,249.344353233,44.3471229154,0.0306868,10.100253,18.381445,17.646866,16.426657,15.209329,14.663386,14.361535,14.151724
8625-9101,259.833229539,57.9002793791,0.0289486,10.101242,19.861038,19.279293,17.157938,15.765004,15.012527,14.577711,14.28618
8980-9101,223.397339019,42.447220005,0.0270918,10.101812,18.570822,17.956001,16.686821,15.253266,14.583651,14.177065,13.897538
9493-3703,131.128171442,23.2956348195,0.0254153,10.102029,22.025082,20.58086,17.358385,15.523332,14.690665,14.266411,13.979205
9883-9102,256.641390707,33.6929831578,0.0301502,10.103332,17.742672,17.217148,16.24049,15.137368,14.654323,14.291284,14.166618
8978-6102,249.371986141,40.8799473806,0.0263847,10.103478,21.30202,20.175682,17.270983,15.656044,14.789963,14.337985,13.994966
8252-6102,144.557956402,48.3883017672,0.0257882,10.104955,17.55595,17.110712,16.049017,14.922277,14.357478,14.059347,13.874589
8626-3702,261.721224401,56.8488006459,0.027777,10.105143,20.992361,19.877071,17.511469,15.872826,14.97852,14.504815,14.152679
8326-1902,214.854653976,45.8642518321,0.0266855,10.105176,Infinity,Infinity,17.08511,15.417894,14.646422,14.277573,14.009488
9871-6101,227.863793703,41.0899929929,0.0307609,10.106038,17.686478,17.220306,16.209568,15.002427,14.500277,14.225696,14.058905
9502-12704,129.35373,24.88009,0.0295472,10.106303,19.952406,21.419456,17.733883,15.993318,15.093272,14.604539,14.288827
8626-9101,262.468323287,56.8263130659,0.0301097,10.106673,18.54599,18.021463,16.684437,15.416517,14.8187685,14.468246,14.261083
8933-6103,194.082472682,27.7510411769,0.0229753,10.106877,21.387306,20.247955,17.03208,15.216262,14.407643,13.995073,13.710719
8154-9102,45.9602480244,-0.204456524554,0.0275917,10.109531,17.710041,17.217985,16.06866,14.886057,14.351577,14.05926,13.831561
8728-12701,57.7295749472,-7.06064700684,0.0284053,10.109812,Infinity,Infinity,16.28096,15.067778,14.4824095,14.146033,13.943932
8078-9102,42.5421244387,-0.867115967443,0.0231851,10.110546,19.434383,18.728878,16.745224,15.275705,14.500488,14.086912,13.768633
8312-3704,247.163484693,39.5185461511,0.0251772,10.112172,24.425547,20.309187,17.070063,15.410238,14.624045,14.223415,13.936902
8241-12703,126.671767765,17.8386878658,0.0289398,10.112722,18.882477,18.54404,16.853575,15.534295,14.792355,14.350592,14.02022
8263-6103,186.06224681,46.3017637996,0.0246954,10.11421,21.474491,20.317904,17.219946,15.429951,14.592484,14.154462,13.854433
8945-3701,171.628470631,46.9984308945,0.025457,10.114401,21.858795,20.294195,17.102835,15.5018835,14.622741,14.247566,13.973436
9028-6103,243.22210877,29.4184768875,0.0311217,10.115484,,21.905876,17.900284,16.028372,15.17682,14.760247,14.477198
8332-9102,210.240944984,42.8556424101,0.0323317,10.115876,20.4964,19.270607,17.413258,15.888167,15.104023,14.652421,14.336116
9026-6103,249.390916115,44.8707860731,0.0317164,10.116252,20.153774,19.632944,17.552887,15.949019,15.146152,14.721323,14.395125
8141-6103,117.303663149,44.0650367071,0.0304443,10.117251,23.155825,20.611816,17.557209,15.816696,15.172167,14.555777,14.281632
9509-6102,123.768534131,25.6086845695,0.0207932,10.117649,28.330448,20.30982,16.774725,15.025806,14.229112,13.829929,13.548597
9034-12703,228.308283217,47.1023203161,0.0289431,10.117659,18.53356,18.210907,16.814674,15.498783,14.810877,14.442987,14.134783
8588-12705,250.312873125,39.7523514003,0.0301398,10.117768,18.776545,18.081518,16.6788,15.332816,14.719569,14.372566,14.123237
8330-9101,203.958723047,40.2716872812,0.0348771,10.118308,17.156584,16.819271,15.961654,14.969584,14.580179,14.27275,14.143164
8084-6103,50.7416763778,0.0541373977095,0.035737,10.118426,22.47682,21.066557,18.34928,16.447489,15.574441,15.0980215,14.7214155
8550-6104,248.41315,39.25763,0.0314747,10.119134,19.500174,18.966122,16.990616,15.549113,14.8973675,14.558253,14.322249
8952-12703,206.470668082,26.7751572173,0.0298759,10.119349,18.128944,17.590956,16.084785,15.1468315,14.597089,14.262645,14.081885
7495-12703,206.470668116,26.775156621,0.0298759,10.119349,18.128944,17.590956,16.084785,15.1468315,14.597089,14.262645,14.081885
8597-1902,223.391244075,48.6987897054,0.036433,10.119437,21.355606,19.985065,17.977314,16.229362,15.40357,15.028425,14.706556
8613-12702,254.044140212,34.836519806,0.0316344,10.1198,17.765636,17.451939,16.465858,15.168762,14.634471,14.263564,14.021476
8990-6102,173.679071279,49.0908236979,0.032755,10.123149,23.616762,22.026407,17.324942,16.02128,15.19121,14.802816,14.539344
9185-12701,256.179611837,34.5585186449,0.0328389,10.123437,16.840786,16.147306,15.851343,14.782713,14.335073,14.073264,13.836524
8711-9101,117.46844143,50.7712316083,0.0212091,10.123548,21.430178,21.010626,17.167934,15.295159,14.390899,13.93077,13.640478
9881-12701,205.419200168,23.1890214792,0.0323642,10.124097,16.968472,16.709408,15.702768,14.732442,14.334591,14.071462,13.88107
8624-12703,264.239535476,59.2002873217,0.0307026,10.125049,19.63382,19.18353,17.304764,15.726259,14.994898,14.574111,14.314623
8323-1901,195.475622379,36.228709184,0.0253315,10.126304,Infinity,Infinity,17.059048,15.302927,14.523176,14.130611,13.858717
8945-6101,173.637733355,46.166337697,0.033343,10.129129,19.747162,19.177736,17.165682,15.7645645,15.073406,14.661731,14.370691
8997-6103,169.378360081,51.9663298857,0.0275055,10.131658,20.514248,19.95356,17.498482,15.680145,14.82389,14.365752,14.027985
8993-9102,165.910106905,45.17996731,0.020498,10.13304,17.871624,17.623253,16.199177,14.713022,14.026119,13.657894,13.39488
8141-3701,118.393688425,44.0954269232,0.0315595,10.133864,20.230703,19.665083,17.645758,16.000095,15.140992,14.676629,14.312713
8588-6104,250.668078167,40.1690871055,0.032454,10.1354475,20.54054,19.847944,17.630545,15.924543,15.113045,14.669319,14.330394
8603-6104,247.419950798,40.6869537939,0.0305182,10.136276,19.577387,19.196688,17.547728,15.855492,15.001023,14.496972,14.118338
8979-12704,243.880654131,41.4070168921,0.0262555,10.137161,22.275,20.95635,17.284527,15.499496,14.677872,14.280876,13.986545
8600-3702,243.880654131,41.4070168921,0.0262555,10.137161,22.275,20.95635,17.284527,15.499496,14.677872,14.280876,13.986545
7991-6104,258.82741019,57.6587701679,0.0282021,10.137774,21.139585,20.280064,17.561636,15.759927,14.908728,14.477359,14.160317
8931-12704,194.506503345,27.4896759526,0.0254306,10.138688,21.805239,19.939432,16.720007,15.2287245,14.50302,14.120147,13.843238
9487-12701,122.522873301,46.1930252145,0.0316031,10.138848,17.557127,17.19656,16.425938,15.0120125,14.513818,14.197227,14.058549
8606-3703,255.848476565,37.6324692415,0.0319881,10.142399,20.519955,19.91411,17.49519,15.863399,15.076569,14.657977,14.366994
8616-6101,322.305753511,-0.523914217837,0.0300125,10.142843,22.531988,21.015265,17.712486,15.930515,15.061172,14.610886,14.304225
8550-12703,247.674430234,40.5293893805,0.0298122,10.143409,18.918423,18.04124,16.767794,15.336638,14.661389,14.259264,14.024592
8154-1902,44.8466810553,-1.16668563519,0.0282449,10.143439,23.448643,21.270164,17.714731,15.880341,15.011535,14.581419,14.266295
8456-1902,151.894835416,46.093981892,0.0243006,10.143483,22.071423,19.562563,16.636414,15.022115,14.336127,13.993633,13.751542
8933-3703,195.18430745,28.3372970375,0.0264083,10.143527,21.605963,20.299156,17.049994,15.373951,14.617019,14.245987,13.961219
8600-3704,245.845279189,41.6511881825,0.0273353,10.14411,17.442528,16.938778,15.884332,14.6930275,14.164298,13.841866,13.634544
8146-12701,117.27419,28.61938,0.027848,10.145146,17.888432,16.819351,15.888955,14.788792,14.222455,13.85907,13.639477
8256-3701,164.497127195,40.8279722463,0.0240103,10.145821,20.946056,19.485811,16.929571,15.169358,14.375115,13.98483,13.701762
8274-3701,164.497127195,40.8279722463,0.0240103,10.145821,20.946056,19.485811,16.929571,15.169358,14.375115,13.98483,13.701762
8719-1902,121.307831756,46.3316596561,0.0290896,10.148412,22.06507,23.921547,17.658121,15.892536,15.023974,14.618094,14.28823
7495-3704,204.586284348,26.7597425957,0.030404,10.148862,20.941494,20.26613,17.529873,15.739789,14.916632,14.503763,14.186924
8604-12704,247.164522584,40.1237151868,0.0258843,10.1492405,17.520145,16.995491,15.847052,14.685403,14.190684,13.86189,13.681592
8611-9101,260.674137648,59.8518663722,0.0270181,10.149247,18.444494,18.017475,16.61736,15.184877,14.548109,14.159501,13.968286
8137-9102,117.038625786,43.5907001931,0.0311378,10.1508665,18.589634,18.142784,16.78779,15.429527,14.776863,14.385225,14.102775
8624-3704,261.980273415,58.3988980961,0.0277493,10.153299,21.719461,20.876066,17.569038,15.74401,14.88305,14.388473,14.01109
9863-3703,194.513211072,26.9159830523,0.0273798,10.155057,21.655693,20.04877,17.054623,15.381688,14.611599,14.241605,13.98021
8592-9101,223.61098242,53.2174411839,0.0268503,10.155196,17.79893,17.175453,16.258316,14.949988,14.341466,14.00578,13.7747345
8330-9102,205.011447114,40.4209145731,0.0241105,10.155245,19.093493,18.734512,16.74168,15.17825,14.393044,13.984497,13.664637
8603-9102,246.238624146,39.5312045188,0.0359966,10.155891,17.667196,17.173128,16.360151,15.238128,14.747033,14.454186,14.280227
8624-1901,263.060425501,59.8708609748,0.0289206,10.15637,22.26585,20.812092,17.462702,15.740755,14.915978,14.514374,14.203225
7960-12705,258.65021268,30.7335347099,0.0295939,10.156488,18.345901,17.774033,16.415407,15.262827,14.662495,14.294975,14.043458
8724-1901,131.287733636,54.9782636717,0.0240728,10.156755,22.031672,20.244345,16.963282,15.237605,14.454285,14.0646515,13.78173
8139-6101,115.005960084,32.194585629,0.027711,10.156828,Infinity,Infinity,17.53674,15.487163,14.729162,14.343824,14.105535
7990-12702,261.278551148,56.878341432,0.0283643,10.15723,21.15138,20.057293,17.455309,15.855136,14.908208,14.40614,14.029752
9182-12702,118.279420717,39.7443685145,0.0279902,10.157611,19.291498,18.67183,16.847897,15.482905,14.715585,14.275053,13.940898
7991-12701,257.752216191,56.9353408648,0.0288967,10.158393,17.065971,16.784489,15.900144,14.847397,14.356878,14.023581,13.793988
8554-3703,183.396894412,35.8001755194,0.0335626,10.15936,20.47036,19.826052,17.562462,15.840055,15.079643,14.677363,14.37175
8243-3704,131.381674782,53.9590028786,0.0307899,10.159814,20.68006,20.221697,17.579872,15.868565,15.009367,14.557364,14.259885
8312-12704,247.304125164,41.1508723641,0.0295927,10.160268,20.561197,19.362585,17.062454,15.550072,14.801025,14.41472,14.146819
8550-6103,247.638690535,39.8307262255,0.0245559,10.160306,17.625132,17.321363,16.19434,14.880178,14.264694,13.917132,13.680468
8456-6101,151.22091438,44.6361226294,0.0232019,10.16075,19.49992,18.099768,16.669632,15.019413,14.248664,13.861415,13.629967
8137-3703,116.854914291,43.9186203408,0.0317491,10.161017,20.978241,20.084772,17.548773,15.824985,15.0176115,14.629651,14.33156
8484-3703,247.67226841,44.5134660847,0.031608,10.16211,17.837143,17.295263,16.419601,15.183947,14.61496,14.277784,14.058882
8978-12701,248.78284923,40.9913754432,0.0300481,10.163698,19.092178,18.526554,17.03538,15.45756,14.724065,14.270729,13.922133
7960-12702,257.532896417,32.294166029,0.0296497,10.16376,20.698555,20.027374,17.433207,15.862339,15.000324,14.478863,14.116272
9185-3704,257.532896417,32.294166029,0.0296497,10.16376,20.698555,20.027374,17.433207,15.862339,15.000324,14.478863,14.116272
9500-12704,131.982539536,25.8316711264,0.0188408,10.165265,18.125843,17.812908,16.210104,14.574507,13.841518,13.445183,13.174105
8253-12703,159.382717136,43.653763908,0.0243203,10.165443,19.277494,19.17319,16.756945,15.102664,14.367297,13.943764,13.658844
7960-6104,259.217409048,31.5841310067,0.0233482,10.165681,Infinity,Infinity,16.809805,15.144928,14.336805,13.903656,13.640233
8141-1901,117.472421015,45.2484834965,0.0312591,10.165954,20.572918,19.487003,17.436745,15.762288,14.9707775,14.555157,14.275259
8439-12703,142.13573,50.79362,0.0251076,10.166193,18.48106,17.452656,16.175257,14.849389,14.215158,13.829923,13.584201
8154-3704,45.1562658081,-1.12625045687,0.0293669,10.168559,23.101469,21.123417,17.798054,15.934029,15.039805,14.595001,14.2466545
8341-6104,190.598878077,46.3043007095,0.031364,10.168601,20.980003,19.87677,17.302048,15.650381,14.886312,14.486515,14.194235
9196-1901,261.469061271,53.5394472086,0.0300519,10.169665,21.770157,21.278753,17.674192,15.8898,15.017747,14.582216,14.261435
8550-3704,248.426385752,39.1851196817,0.0298414,10.17023,18.998413,18.56975,16.836098,15.380361,14.702685,14.338032,14.12009
8145-1902,117.045741199,28.2302750745,0.0271584,10.170778,18.995848,18.426624,16.717337,15.263625,14.547501,14.175316,13.88026
9193-1902,46.6602571675,-0.509978304821,0.0253366,10.172985,21.789194,20.613214,17.418785,15.562947,14.666536,14.21321,13.871467
8612-1902,254.096625941,38.3634672272,0.033179,10.174083,18.944584,18.607126,17.194845,15.704497,14.974367,14.594097,14.279897
8980-12703,226.211851518,42.7344795268,0.0282139,10.175001,21.396439,19.852304,17.068865,15.451501,14.692929,14.269177,14.002335
8588-3704,250.969273528,39.9833981175,0.0299994,10.175935,20.99284,20.276405,16.910812,15.393815,14.70158,14.358723,14.11994
8611-3702,261.46393833,60.1941170998,0.0290456,10.176366,Infinity,Infinity,16.932966,15.396358,14.650853,14.264623,13.98092
8603-12703,247.282646413,40.6650474998,0.0299683,10.177242,19.375507,19.54298,17.06686,15.638888,14.871781,14.456211,14.146547
8602-1901,247.336422888,39.8203959475,0.0260913,10.177421,22.266367,20.523722,17.197866,15.389191,14.567399,14.153068,13.838378
9095-3701,242.280313624,21.867727614,0.0313123,10.177687,18.912859,18.482693,17.096296,15.78705,15.020293,14.581707,14.276345
9088-6102,242.751057523,26.642849101,0.0311977,10.178295,21.112566,19.769041,17.986494,15.983853,15.066877,14.572125,14.189597
8081-9101,47.7721826741,-0.546537826618,0.0282047,10.178603,19.69473,19.081558,17.051458,15.557886,14.796425,14.359908,14.064467
8615-9101,319.919751556,0.120941045034,0.033224,10.178784,19.44805,18.899424,17.241354,15.803793,15.067009,14.629257,14.273628
8156-1902,56.623992358,0.718801875888,0.0253764,10.179882,23.840185,21.714848,18.159174,16.051527,14.991866,14.436261,14.0341625
9194-6103,47.1429889739,0.55093690996,0.0307772,10.180329,20.979641,20.895864,17.8564,16.041357,15.13415,14.675509,14.348682
8992-6104,173.806890998,51.1619349883,0.0265211,10.181867,21.26859,20.301819,17.058708,15.360966,14.565323,14.1670065,13.90089
8252-6103,144.154987174,48.4743817436,0.0259413,10.182355,18.064419,17.312914,16.100306,14.785962,14.165324,13.804295,13.546019
8446-1902,206.154337129,37.1716322286,0.0266073,10.182503,21.125828,19.708065,16.958761,15.291533,14.52652,14.147874,13.876077
8567-3701,118.10650806,47.7779786348,0.0307532,10.182603,20.105036,18.97056,17.162455,15.640806,14.862941,14.451268,14.133433
7990-3701,260.616380035,57.1640553041,0.030415,10.183688,19.581825,18.892633,17.197208,15.680129,14.877974,14.465535,14.179418
8615-9102,321.474041874,0.416058767769,0.0317398,10.184229,18.617867,18.016521,16.686417,15.382939,14.744868,14.377867,14.095472
8934-3703,195.121458343,26.6753565674,0.0239553,10.184331,20.35644,19.052824,16.698103,15.019224,14.25871,13.88133,13.61983
8326-1901,213.813097542,47.8733435601,0.0278739,10.184379,20.777803,19.69347,17.254784,15.463861,14.641799,14.236643,13.941542
9501-9102,130.36775761,25.2344528405,0.0291841,10.184601,18.325855,17.77969,16.555637,15.23211,14.587097,14.197662,13.974263
7495-12702,205.074820342,26.3495638698,0.0284013,10.184604,17.858896,17.639315,16.376358,15.141441,14.501709,14.1087885,13.847647
8484-6101,248.055741501,44.4032957289,0.0310484,10.184666,19.559446,19.383446,17.325747,15.746147,14.969943,14.509394,14.197397
9183-3703,121.920806254,39.0042388809,0.0233453,10.184773,18.951027,17.822134,16.06579,14.642838,14.014922,13.678367,13.438078
9507-12704,129.600036621,25.7545013428,0.0181814,10.185556,17.37614,16.78369,15.366002,13.948193,13.406078,13.067272,12.8589525
8241-6102,126.059633434,17.3319505175,0.0372518,10.187831,17.28321,16.936882,16.100033,14.990197,14.555799,14.241362,14.077401
8717-3704,117.518331889,34.479317451,0.0290077,10.188535,18.99433,18.386871,16.678328,15.36688,14.63111,14.232662,13.926439
8602-12703,247.067022165,40.1159229057,0.0323906,10.188656,,21.440449,17.386839,15.787254,15.016631,14.62546,14.332446
8450-6101,172.143172769,21.0106965128,0.0207675,10.1890545,18.2377,17.500727,16.053757,14.525558,13.814612,13.445559,13.201917
8939-3702,124.18959773,24.7802418812,0.0248864,10.189077,18.929749,18.206253,16.533512,15.109453,14.335209,13.914329,13.612972
7443-6102,231.606701762,42.3540265659,0.0280161,10.189423,18.161442,17.585478,16.250109,14.999447,14.402634,14.071975,13.841178
8462-6103,144.078756037,37.2467321624,0.0196764,10.189967,20.3645,19.701399,16.802523,14.912988,13.97619,13.424335,13.05298
8085-12704,52.6198957289,0.81149714329,0.0308029,10.190026,19.485588,18.964506,17.29008,15.745361,14.974685,14.532793,14.211717
8319-6102,199.944770082,48.2065758276,0.0359626,10.190077,17.509457,16.951668,16.35844,15.148769,14.635518,14.315171,14.149991
9883-3703,256.462065058,32.975386513,0.0313922,10.1906595,24.21332,21.055593,17.791857,15.854718,15.002243,14.567778,14.250262
8443-6102,207.061565491,24.7777196101,0.0274142,10.191292,19.23287,18.454409,16.79861,15.294779,14.545076,14.138553,13.914696
9485-6104,121.273000921,37.6255983907,0.0328443,10.192813,19.622755,19.265892,17.338453,15.786163,15.02078,14.603769,14.364319
8997-12702,171.394123778,52.5462969861,0.0270052,10.194151,18.422565,18.682201,16.859005,15.278883,14.533407,14.128829,13.969634
8950-12704,195.208009735,27.4057748603,0.0219822,10.19536,22.27341,20.088953,16.306187,14.753209,14.047461,13.668658,13.405485
8311-12703,205.041630791,23.341080523,0.0319257,10.197784,17.922863,17.454727,16.349327,15.128957,14.550366,14.215247,13.971797
8984-3704,203.550636109,27.0031738715,0.0355294,10.198597,20.253082,19.335426,17.628225,15.8864565,15.07952,14.662892,14.334109
8259-3702,177.794188858,45.2228493075,0.0358399,10.198904,18.905727,18.515993,17.0881,15.565956,14.9070215,14.564923,14.38522
8312-3701,246.994480533,39.6039607014,0.0261375,10.19976,20.075613,20.507967,17.040537,15.326659,14.522148,14.114868,13.809414
8606-3702,253.793913226,36.9063091542,0.0235624,10.202984,19.164991,19.051912,16.503645,15.007282,14.270169,13.764074,13.642299
8551-12705,233.940924979,44.8347966393,0.0296351,10.203134,16.6508,16.250387,15.449317,14.392157,13.99071,13.729852,13.6089
8947-9102,170.516427569,50.8151214777,0.0280109,10.205516,18.256105,17.715204,16.423697,15.049077,14.414099,14.06686,13.883086
9507-12705,129.520694425,25.3295052986,0.0281762,10.205581,19.67788,18.588753,16.712616,15.226906,14.545127,14.094845,13.831927
8485-9102,234.111533723,47.8547870822,0.0261956,10.206164,17.849182,17.339062,16.048466,14.880392,14.273072,13.897523,13.698153
8625-3702,258.723496416,57.6733287824,0.0274584,10.206734,21.923431,20.206331,17.080614,15.418865,14.64066,14.241189,13.957504
8626-12701,263.525272316,56.7996126548,0.0292576,10.20685,20.32981,19.958315,17.231619,15.658244,14.831951,14.377188,14.063775
8550-3703,246.749012651,39.3201236818,0.0297141,10.208186,22.61312,20.561026,17.290867,15.5296335,14.743658,14.371976,14.077025
8141-12701,116.732642218,44.2656992972,0.0312315,10.208489,18.07209,17.58082,16.430077,15.155223,14.581419,14.214168,14.038378
8978-1901,248.914682244,42.461295253,0.0317853,10.208965,19.59871,19.123363,17.183008,15.602688,14.862539,14.470437,14.216064
8313-12702,240.67741912,41.1972609837,0.0333433,10.209137,16.827158,16.36237,15.529086,14.52605,14.125568,13.882687,13.701198
9041-12702,236.389753136,30.1474062658,0.0316281,10.2093,17.769331,17.363506,16.330784,15.091692,14.529796,14.172146,13.947715
8604-1901,247.438032058,39.8105402631,0.0304269,10.209472,22.122963,20.551003,17.406195,15.605874,14.799535,14.407341,14.096483
9508-12705,127.273132937,25.7726268856,0.0278606,10.211131,19.765911,19.381878,17.055553,15.570986,14.759646,14.292686,13.984233
9509-3704,122.735620823,25.6847130209,0.0254099,10.211401,22.199404,20.567211,17.017447,15.294686,14.456014,14.029765,13.71684
8464-3704,188.10783748,44.1836188104,0.0307771,10.212295,17.572819,16.933455,16.031088,14.877353,14.349738,14.035529,13.848996
8611-12704,260.705617581,60.4448593136,0.0203175,10.212494,18.13007,17.466896,15.838769,14.495722,13.82963,13.480971,13.202936
9029-12705,247.579418669,41.1020792928,0.0295154,10.212766,16.954634,16.653471,15.699866,14.700318,14.221685,13.9450445,13.760078
8947-3702,170.70809677,51.2077081692,0.026114,10.212952,20.843306,19.740337,16.94421,15.219666,14.428999,14.048324,13.767181
8330-6103,203.035268602,40.4999081255,0.0269759,10.213557,19.94891,19.88966,16.840921,15.2978115,14.515269,14.082538,13.827121
8989-3703,177.440360191,50.5270164143,0.026442,10.213818,18.362984,17.553814,16.464334,14.978085,14.27215,13.895527,13.6564
8443-1901,207.769207404,25.0830829578,0.0294147,10.214516,21.588135,20.12693,17.119905,15.4858675,14.697883,14.305123,14.010823
9024-3701,221.666417171,33.4012281555,0.0294283,10.214923,20.35809,19.216988,17.086504,15.442052,14.651451,14.244141,13.945398
9865-12701,224.941125343,49.5039283741,0.0266382,10.215798,19.446999,18.775902,16.688662,15.128054,14.4149475,14.007581,13.73193
8985-12703,204.554359244,32.8228438761,0.0245119,10.216377,16.627842,16.139963,15.430218,14.345304,13.841937,13.522475,13.315009
7968-1901,322.451923884,-0.313554702629,0.0299319,10.216733,21.184608,20.466585,17.428776,15.775228,14.902953,14.419982,14.175077
8329-6103,213.103435454,44.4608684501,0.0312672,10.216752,18.804071,18.086058,16.731287,15.337526,14.66911,14.305026,14.095331
8077-3701,41.4931915999,-0.449181093753,0.0289556,10.216818,22.001928,20.434175,17.341423,15.560692,14.7283,14.30494,14.021899
8081-9102,49.8456932706,0.823469663765,0.0335656,10.217247,19.901644,19.71209,17.678576,16.12819,15.266786,14.766953,14.372462
7991-3704,260.228215186,57.0979557846,0.0274682,10.217476,21.536629,21.409168,17.547356,15.615625,14.709892,14.228397,13.861974
8150-6104,147.539015745,33.5693471221,0.0270084,10.217702,Infinity,Infinity,16.541552,15.048336,14.320889,13.919541,13.675257
8335-12705,216.75986,39.95721,0.0253001,10.217981,16.989584,16.325449,15.456156,14.348111,13.837499,13.551227,13.340027
8326-12701,213.149187912,47.2530577,0.0280844,10.219836,19.15164,18.659428,16.911432,15.346252,14.573099,14.155698,13.877894
8325-12703,213.149187912,47.2530577,0.0280844,10.219836,19.15164,18.659428,16.911432,15.346252,14.573099,14.155698,13.877894
8551-1901,232.885171748,45.6575956435,0.0294578,10.22015,20.860209,20.27505,17.413288,15.5686655,14.733851,14.31479,13.999933
8262-9102,184.55356586,44.1732422277,0.0245271,10.221046,16.643425,15.887614,15.09129,14.052384,13.606687,13.333003,13.184744
7992-1902,257.247919024,62.8980190772,0.0270671,10.221806,17.571089,17.167902,15.966329,14.722626,14.157585,13.842909,13.638165
8978-1902,249.829877166,42.1841298265,0.0274045,10.2219515,21.855707,20.200901,17.025131,15.302184,14.528185,14.14504,13.860016
8726-12701,115.717036562,22.1127304695,0.0286472,10.2221365,17.65167,17.175406,16.061834,14.888259,14.292018,13.926738,13.636964
8982-6104,203.057062619,26.9499810568,0.0352905,10.222183,19.968233,18.738358,17.05631,15.537988,14.846095,14.471411,14.206284
8716-9101,119.601892134,52.768540321,0.0229356,10.222222,21.264439,19.721357,16.902872,15.17848,14.257263,13.778313,13.4222
8140-6103,116.787162594,42.0787163158,0.0282779,10.223348,21.463106,20.179926,17.073568,15.53465,14.706706,14.257673,13.967502
8624-9102,263.892581425,59.8899227545,0.0283608,10.223408,18.945415,18.292404,16.623867,15.249422,14.560199,14.179918,13.937437
8547-6102,217.324860201,52.6655598805,0.0304662,10.224419,18.204725,17.789722,16.494154,15.159533,14.516145,14.15904,13.871528
8312-1902,247.583911576,39.8043232273,0.0293613,10.224836,22.142214,20.742834,17.331327,15.518412,14.710433,14.30323,14.012877
9196-6103,260.354712548,54.3049245811,0.0298797,10.225402,18.457958,17.97791,16.631445,15.28215,14.597329,14.218393,13.923244
